"","ID","year","Country.Name","region","E.Government.Rank","E.Government.Index","E.Participation.Index","Online.Service.Index","Human.Capital.Index","ps_2020","Country Name","electicity","FDI","mobile","urban","GDP_per","corruption","rule_of_law","pol_stab","accountability","effectiveness","reg_qual","young_population","pop_dens","internet_users"
"54","ESP",2020,"Spain ","Europe",17,0.8801,0.8452,0.8882,0.8989,1.005521,"Spain",NA,0.7411525,NA,0.8949537,119.0138278,0.3952676,0.7676963,0.9019612,80.81,1.007932,27057.1635151239,65.62292093,94.77829717,90.71866533
"55","EST",2020,"Estonia ","Europe",3,0.9473,1,0.9941,0.9266,0.6621813,"Estonia",NA,1.61278,NA,1.343336,145.1743829,0.7101202,1.535388,1.382246,69.229,1.171272,23312.2763272181,63.12860196,30.62012882,90.2289282
"56","ETH",2020,"Ethiopia ","Africa",178,0.274,0.3333,0.3647,0.3378,-0.2599428,"Ethiopia",NA,-0.3623945,NA,-0.5520683,NA,-1.738457,-0.9574109,-0.3977932,21.695,-1.017297,936.340461064749,56.54546986,101.8007113,25
"57","FIN",2020,"Finland ","Europe",4,0.9452,0.9524,0.9706,0.9549,0.549863969777238,"Finland",NA,2.204168,NA,1.948935,128.5031548,0.9446252,1.854752,2.078883,85.517,1.615212,49041.3422565659,61.58039027,18.19794354,89.60738511
"58","FJI",2020,"Fiji ","Oceania",90,0.6585,0.4643,0.5059,0.8227,0.8045825,"Fiji",NA,0.6391488,NA,0.3018749,NA,0.7479544,-0.1703498,0.1097826,57.247,0.0341039,4881.52606919802,65.17131559,49.06644773,NA
"59","FRA",2020,"France","Europe",19,0.8718,0.9048,0.8824,0.8612,0.785329756711591,"France",NA,1.153109,NA,1.247808,111.4556255,0.3125098,1.195966,1.327411,80.975,1.06943,38625.0673845578,61.59288873,123.076834,83.33974409
"60","FSM",2020,"Micronesia (Federated States of) ","Oceania",161,0.3779,0.3333,0.3529,0.6747,NA,"Micronesia, Fed. Sts.",NA,0.8805574,NA,-0.0826501,NA,1.075389,-0.9548313,0.0900509,22.933,1.128635,NA,64.41668188,164.3157143,NA
"61","GAB",2020,"Gabon ","Africa",113,0.5401,0.2738,0.3235,0.6719,0.146857401137034,"Gabon",NA,-0.9244228,NA,-0.9099023,138.7740853,-0.0771416,-0.8784322,-0.6654624,90.092,-0.9939862,7005.87909704756,59.2072997,8.637901191,61
"62","GBR",2020,"United Kingdom of Great Britain and Northern Ireland","Europe",7,0.9358,0.9762,0.9588,0.9292,0.278309819775502,"United Kingdom",NA,1.692274,NA,1.376632,116.3818566,0.4743571,1.481055,1.496935,83.903,1.246781,40284.6384553276,63.66937807,277.8295085,92.51662855
"63","GEO",2020,"Georgia (Country)","Asia",65,0.7174,0.6429,0.5882,0.8717,0.3499713,"Georgia",NA,0.5959197,NA,0.787501,127.8487714,-0.4307931,1.108767,0.2859657,59.453,0.0554018,4278.86077091661,64.52627829,64.97778089,68.84670565
"64","GHA",2020,"Ghana ","Africa",101,0.596,0.631,0.6353,0.593,-0.4462147,"Ghana",NA,-0.1155107,NA,-0.1526524,130.2149362,0.1258658,0.0001739,-0.0386941,57.349,0.5831697,2328.53464211079,59.72849367,136.560363,53
"65","GIN",2020,"Guinea ","Africa",183,0.2592,0.3095,0.2176,0.2591,-0.3524192,"Guinea",NA,-0.9678046,NA,-0.8943251,NA,-0.6370652,-0.8336266,-1.263659,36.875,-0.9223381,1194.03786469464,53.99872609,53.44616637,23
"66","GMB",2020,"Gambia ","Africa",181,0.263,0.0357,0.0294,0.363,-0.2600099,"Gambia, The",NA,-0.3428272,NA,-0.6720108,110.8118285,0.2453408,-0.6875781,-0.3659326,62.582,-0.2009927,787.006450894821,53.51856358,238.8007905,51
"67","GNB",2020,"Guinea-Bissau ","Africa",186,0.2316,0.0833,0.0647,0.4265,-0.5379236,"Guinea-Bissau",NA,-1.319101,NA,-1.431687,97.2488327,-0.598215,-1.263349,-1.364821,44.196,-0.4710643,727.520171719562,55.18701464,69.98570413,28
"68","GNQ",2020,"Equatorial Guinea ","Africa",185,0.2507,0.0714,0.0647,0.5547,-0.1374189,"Equatorial Guinea",NA,-1.685068,NA,-1.471354,NA,-0.1922405,-1.549407,-1.253869,73.1,-1.83182,7143.23870497146,60.83935324,50.01729055,NA
"69","GRC",2020,"Greece ","Europe",42,0.8021,0.7857,0.7059,0.8905,0.7652451,"Greece",NA,0.0598671,NA,0.4444801,109.4976098,0.1251008,0.5500144,0.3202699,79.715,0.96592,17676.1924769339,64.05968922,83.13071373,75.67120669
"70","GRD",2020,"Grenada ","Americas",102,0.5812,0.3333,0.3412,0.8576,NA,"Grenada",NA,0.3571173,NA,-0.0654131,NA,1.034534,-0.1702272,0.2926352,36.537,0.6922625,9680.17582544907,66.43086302,330.9382353,NA
"71","GTM",2020,"Guatemala ","Americas",121,0.5155,0.5,0.5118,0.552,-0.614891405069897,"Guatemala",NA,-1.095947,NA,-0.6874367,113.8153755,-0.4291327,-0.1747904,-1.053237,51.836,-0.3872769,4603.33961670975,61.61552902,157.3192703,44.40104984
"72","GUY",2020,"Guyana ","Americas",129,0.4909,0.4524,0.4647,0.6462,0.0780443,"Guyana",NA,-0.1497357,NA,-0.4381699,NA,-0.1459536,-0.550658,-0.425237,26.786,0.2148667,6955.93921717789,65.26853914,3.995727711,NA
"73","HND",2020,"Honduras ","Americas",138,0.4486,0.4881,0.4647,0.5568,-0.6303716,"Honduras",NA,-0.8577685,NA,-0.5959823,70.27693274,-0.5446041,-0.4955445,-0.9583805,58.359,-0.603004,2405.73284775141,64.43861932,88.52094021,NA
"74","HRV",2020,"Croatia ","Europe",51,0.7745,0.8929,0.7529,0.8414,0.1539544,"Croatia",NA,0.2007412,NA,0.4377178,106.58744,0.6074048,0.43394,0.29418,57.553,0.5801762,13828.4695048846,64.20620145,71.51793603,79.07978368
"75","HTI",2020,"Haiti ","Americas",180,0.2723,0.2262,0.1882,0.3839,-0.611804999988241,"Haiti",NA,-1.319874,NA,-2.033819,NA,-1.043329,-1.214759,-1.036246,57.088,-0.8427454,1176.75581952799,62.35143645,413.7348694,32.5
"76","HUN",2020,"Hungary ","Europe",52,0.7745,0.6786,0.7471,0.8509,0.533793104532343,"Hungary",NA,0.0974263,NA,0.5809025,106.9594676,0.863838,0.4816817,0.5128838,71.942,0.3898624,15899.1482797158,65.4282334,106.8350099,80.37169361
"77","IDN",2020,"Indonesia ","Asia",88,0.6612,0.75,0.6824,0.7342,0.4956656,"Indonesia",NA,-0.3974239,NA,0.3691624,130.0613865,-0.5002089,0.0776586,-0.3387444,56.641,0.0996764,3869.58842704537,67.80148032,145.6835435,47.69064898
"78","IND",2020,"India ","Asia",100,0.5964,0.8571,0.8529,0.5848,0.5282234,"India",NA,-0.2448308,NA,0.3865438,83.60189609,-0.8619818,-0.1377745,-0.0177096,34.926,0.1498907,1900.70680971528,67.26549988,464.1494102,41
"79","IRL",2020,"Ireland ","Europe",27,0.8433,0.8571,0.7706,0.9494,0.5712107,"Ireland",NA,1.566898,NA,1.480219,105.9994702,0.9751874,1.473795,1.498885,63.653,1.39423,83812.8029661508,64.58977769,72.50288866,87.00005524
"80","IRN",2020,"Iran (Islamic Republic of) ","Asia",89,0.6593,0.4643,0.5882,0.7686,-0.6389044,"Iran, Islamic Rep.",NA,-1.085447,NA,-0.9893743,151.94722,-1.667853,-1.458911,-0.8671182,75.874,-1.480663,2282.55186460415,68.69094928,51.56864916,77.77083846
"81","IRQ",2020,"Iraq ","Asia",143,0.436,0.3095,0.3353,0.4358,-0.2963961,"Iraq",NA,-1.283775,NA,-1.32672,91.85556947,-2.528343,-1.376893,-1.753684,70.893,-1.009963,4157.48449469489,58.8435232,92.65125263,NA
"82","ISL",2020,"Iceland ","Europe",12,0.9101,0.7738,0.7941,0.9525,0.24993914853125,"Iceland",NA,1.699824,NA,1.523776,123.4850239,1.394177,1.448037,1.79911,93.898,1.386304,59260.8871381682,64.95371334,3.634087077,99
"83","ISR",2020,"Israel ","Asia",30,0.8361,0.7143,0.7471,0.8924,0.504679867534139,"Israel",NA,0.5657755,NA,1.096137,131.7076299,-0.8282074,1.24164,0.9973904,92.587,0.6552317,43610.5203308148,59.75718428,425.9195933,86.78787762
"84","ITA",2020,"Italy ","Europe",37,0.8231,0.8214,0.8294,0.8466,0.552745606842487,"Italy",NA,0.5389154,NA,0.4003631,128.6710064,0.4400665,0.5030249,0.2409934,71.039,1.057024,31676.2020987349,63.71081647,200.0269472,76.1
"85","JAM",2020,"Jamaica ","Americas",114,0.5392,0.369,0.3882,0.7142,0.367993869136657,"Jamaica",NA,-0.0074757,NA,0.4144205,97.03130556,0.2707812,0.0893666,-0.2373807,56.311,0.6265474,4664.52915035973,67.56407187,273.4220683,NA
"86","JOR",2020,"Jordan ","Asia",117,0.5309,0.3333,0.3588,0.68,-0.257906666156662,"Jordan",NA,0.0704442,NA,0.1147702,68.48769211,-0.3221407,0.2255307,0.2124759,91.418,-0.7505696,4282.76582261085,63.19245636,114.9261095,NA
"87","JPN",2020,"Japan ","Asia",14,0.8989,0.9881,0.9059,0.8684,0.5237747,"Japan",NA,1.49587,NA,1.596166,152.0316954,1.038876,1.353819,1.525137,91.782,0.9876988,NA,59.1541702,345.2291385,92.73039781
"88","KAZ",2020,"Kazakhstan ","Asia",29,0.8375,0.881,0.9235,0.8866,0.134756472911178,"Kazakhstan",NA,-0.3914681,NA,0.1555083,134.0863443,-0.2600716,0.1395519,-0.3961428,57.671,-1.18816,9055.74500903002,62.95302472,6.946860762,81.87762047
"89","KEN",2020,"Kenya ","Africa",116,0.5326,0.5952,0.6765,0.5812,-0.2061395,"Kenya",NA,-0.8553775,NA,-0.3543688,114.2038756,-1.003641,-0.4419633,-0.5577266,27.995,-0.3399551,1838.20996794042,58.90121004,94.47816003,22.56511937
"90","KGZ",2020,"Kyrgyzstan ","Asia",83,0.6749,0.7143,0.6471,0.7873,-0.802000531963833,"Kyrgyz Republic",NA,-1.110902,NA,-0.5401577,NA,-0.4277135,-0.4046249,-0.9265748,36.856,-0.5941642,1173.61135576213,62.62326617,34.36704901,NA
"91","KHM",2020,"Cambodia ","Asia",124,0.5113,0.4167,0.4529,0.5344,-0.02831257,"Cambodia",NA,-1.231246,NA,-0.4194071,NA,-0.2358826,-0.6164084,-0.9458001,24.232,-1.358499,1512.72775264685,64.22219916,94.71431566,78.27288351
"92","KIR",2020,"Kiribati ","Oceania",145,0.432,0.5595,0.4941,0.6778,NA,"Kiribati",NA,0.4503273,NA,-0.1362213,45.76095237,1.081049,-0.5734185,0.8797514,55.594,1.128981,1670.82469059412,59.86822828,147.4641975,NA
"93","KNA",2020,"Saint Kitts and Nevis ","Americas",95,0.6352,0.3333,0.3941,0.8035,NA,"St. Kitts and Nevis",NA,0.3771998,NA,0.6968508,NA,0.9338933,0.5294037,0.5296315,30.843,0.8166679,17435.9274299115,NA,204.5846154,NA
"94","KOR",2020,"Republic of Korea ","Asia",2,0.956,1,1,0.8997,0.515814,"Korea, Rep.",NA,0.7280666,NA,1.415869,137.536175,0.5591969,1.033297,1.183163,81.414,0.8158123,31489.1226973168,71.66628453,530.9739438,96.15757918
"95","KWT",2020,"Kuwait ","Asia",46,0.7913,0.9048,0.8412,0.747,-1.524812,"Kuwait",NA,-0.064645,NA,-0.1582288,158.5349125,0.23795,0.2879493,0.3317031,100,-0.6801625,NA,75.50198791,239.65,99.54267645
"96","LAO",2020,"Lao People's Democratic Republic ","Asia",167,0.3288,0.2143,0.1941,0.5539,0.202262,"Lao PDR",NA,-1.068325,NA,-0.7660105,NA,0.6778482,-0.8009471,-0.8496245,36.29,-1.795886,2630.20377393196,63.79359115,31.52320624,NA
"97","LBN",2020,"Lebanon ","Asia",127,0.4955,0.3333,0.4176,0.6567,0.60448665739186,"Lebanon",NA,-1.145127,NA,-1.169724,62.82698051,-1.645608,-0.6311523,-0.9043815,88.925,-0.5581721,4891.00147031944,67.38215604,667.1986315,NA
"98","LBR",2020,"Liberia ","Africa",182,0.2605,0.2381,0.2471,0.3933,-0.28537748587815,"Liberia",NA,-0.8733276,NA,-1.409893,NA,-0.3696544,-1.002027,-1.025773,52.089,-0.0758209,583.271727316711,56.3093046,52.50910507,22
"99","LBY",2020,"Libya","Africa",162,0.3743,0.0357,0.0412,0.7357,-1.12136054214849,"Libya",NA,-1.620082,NA,-2.009433,NA,-2.47725,-2.321581,-1.969586,80.691,-1.382527,3699.22862081017,67.68940979,3.905161008,NA
"100","LCA",2020,"Saint Lucia ","Americas",112,0.5444,0.3929,0.3824,0.7205,NA,"St. Lucia",NA,0.5112875,NA,0.1528237,NA,0.8724012,0.2882809,0.623391,18.841,0.8780571,9276.11782856052,71.75143089,301.0311475,NA
"101","LIE",2020,"Liechtenstein","Europe",31,0.8359,0.6071,0.6588,0.8489,NA,"Liechtenstein",NA,1.997708,NA,1.824068,128.2626941,1.698112,1.624495,1.763238,14.416,1.263847,NA,NA,238.35625,NA
"102","LKA",2020,"Sri Lanka ","Asia",85,0.6708,0.7143,0.7176,0.766,0.4435564,"Sri Lanka",NA,-0.31243,NA,-0.0702101,138.8414481,-0.0465375,-0.1790705,-0.0452499,18.713,-0.0518834,3682.03842459282,65.08229088,354.309453,29
"103","LSO",2020,"Lesotho ","Africa",135,0.4593,0.3452,0.3529,0.5753,-0.2955863,"Lesotho",NA,-0.0859292,NA,-0.9123116,72.94427492,-0.334338,-0.5658796,-0.4566434,29.028,0.0023245,861.014548091526,62.81314637,70.56166008,42.30173357
"104","LTU",2020,"Lithuania ","Europe",20,0.8665,0.7381,0.8529,0.9218,0.305114566104598,"Lithuania",NA,0.8082245,NA,1.05881,174.2073307,0.8669418,1.088133,0.9938994,68.046,1.007341,19997.5925262112,63.90408954,44.62238544,81.58186838
"105","LUX",2020,"Luxembourg","Europe",33,0.8272,0.7024,0.7647,0.8097,0.624615738927601,"Luxembourg",NA,2.057724,NA,1.842216,142.1775206,1.233051,1.842214,1.794463,91.453,1.502643,115873.602630203,70.05166316,260.1954733,97.12063569
"106","LVA",2020,"Latvia ","Europe",49,0.7798,0.5833,0.5824,0.9172,0.212068079511583,"Latvia",NA,0.7226007,NA,0.8822721,108.7562918,0.4600297,1.187873,0.9567372,68.315,0.8720494,17619.9523907399,62.88051413,30.62567241,86.13545644
"107","MAR",2020,"Morocco ","Africa",106,0.5729,0.5119,0.5235,0.6152,-0.214537083595707,"Morocco",NA,-0.3515292,NA,-0.0301266,133.893994,-0.326688,-0.1172722,-0.0884053,63.532,-0.6086332,3009.24945958152,65.62536304,82.70346852,74.37631447
"108","MCO",2020,"Monaco ","Europe",64,0.7177,0.369,0.4706,0.8187,NA,"Monaco",NA,NA,NA,NA,90.4260741,0.87713,NA,NA,100,0.6734195,NA,NA,19360.63148,NA
"109","MDA",2020,"Republic of Moldova ","Europe",79,0.6881,0.7619,0.7529,0.7432,0.110409,"Moldova",NA,-0.5742558,NA,-0.4556413,84.7896473,-0.4173256,0.0425393,-0.410875,42.849,-0.0474039,4551.13067562421,71.61865391,91.14242244,NA
"110","MDG",2020,"Madagascar ","Africa",172,0.3095,0.2976,0.2882,0.5307,-0.5759913,"Madagascar",NA,-0.9716038,NA,-1.001948,NA,-0.4554836,-0.7433639,-0.8828606,38.534,-0.2750431,495.490400891458,56.83676563,47.59542626,NA
"111","MDV",2020,"Maldives","Asia",105,0.574,0.4405,0.4353,0.6886,0.34830971927777,"Maldives",NA,-0.3392963,NA,-0.1140211,132.7751302,0.4120386,-0.4917062,-0.3330472,40.669,-0.3303811,7455.85572772295,76.80688344,1801.806667,NA
"112","MEX",2020,"Mexico ","Americas",61,0.7291,0.8214,0.8235,0.7727,0.431509128431607,"Mexico",NA,-0.8476247,NA,-0.1550609,93.44558787,-0.8500293,0.0767781,-0.670108,80.731,-0.0355823,8346.70237883571,66.54663071,66.32513851,70.06991047
"113","MHL",2020,"Marshall Islands ","Oceania",156,0.4055,0.4286,0.3412,0.7506,NA,"Marshall Islands",NA,-0.027704,NA,-1.406187,NA,0.5895172,-1.103951,0.0045259,77.794,1.136699,NA,NA,328.8555556,NA
"114","MLI",2020,"Mali ","Africa",171,0.3097,0.3214,0.3471,0.2274,-0.61784708353079,"Mali",NA,-0.7787145,NA,-1.15448,125.0101564,-2.147444,-0.6080129,-0.9234388,43.909,-0.7305844,858.915805496235,50.51554669,16.59645957,26
"115","MLT",2020,"Malta ","Europe",22,0.8547,0.8333,0.8118,0.829,0.3233666,"Malta",NA,0.3712346,NA,1.039465,143.3887526,0.9510368,1.219251,0.9162602,94.744,1.1215,27884.6428274251,64.30223104,1641.515625,85.77856081
"116","MMR",2020,"Myanmar ","Asia",146,0.4316,0.2619,0.2588,0.5125,0.2388716,"Myanmar",NA,-0.6537105,NA,-0.9965181,NA,-1.513142,-0.6322959,-1.17882,31.141,-0.9443119,1400.21824189956,68.27831751,83.3496132,NA
"117","MNE",2020,"Montenegro","Europe",75,0.7006,0.5476,0.5412,0.8239,0.505421118548533,"Montenegro",NA,-0.0030923,NA,-0.0150124,171.9706209,-0.0026279,0.3970378,0.0590738,67.488,0.042153,7686.09294918651,66.18556012,46.19375465,73.47666575
"118","MNG",2020,"Mongolia ","Asia",92,0.6497,0.6071,0.5294,0.8063,0.0354907335069009,"Mongolia",NA,-0.463969,NA,-0.3437614,133.1157097,0.793758,-0.0923367,-0.263761,68.657,0.3791947,4007.30888507766,64.59474299,2.105173526,51.07999408
"119","MOZ",2020,"Mozambique ","Africa",163,0.3564,0.5238,0.5176,0.4222,-0.2468846,"Mozambique",NA,-0.7205738,NA,-0.7244258,NA,-1.16108,-0.6904809,-1.022154,37.074,-0.6013488,448.607453580724,53.07538673,39.74596887,15.1
"120","MRT",2020,"Mauritania ","Africa",176,0.282,0.0952,0.1,0.3575,-0.321999137115088,"Mauritania",NA,-0.805144,NA,-0.7722083,106.0845981,-0.75134,-0.8073273,-0.5869273,55.327,-0.8404648,1672.9235348238,57.13704105,4.511167168,NA
"121","MUS",2020,"Mauritius ","Africa",63,0.7196,0.6429,0.7,0.7911,0.360970314295215,"Mauritius",NA,0.4738657,NA,0.8660755,150.4126539,0.8893682,1.126,0.9225383,40.76,0.7444666,8622.67551491013,70.69512678,623.5172414,61.72995515
"122","MWI",2020,"Malawi ","Africa",165,0.348,0.4167,0.4235,0.4812,-0.567661766522331,"Malawi",NA,-0.395084,NA,-0.7944295,52.29851073,-0.2371846,-0.7217206,-0.2671367,17.427,-0.034748,625.29412916014,54.36639883,202.9057594,15.5
"123","MYS",2020,"Malaysia","Asia",47,0.7892,0.8571,0.8529,0.7513,0.427041968800774,"Malaysia",NA,0.2494959,NA,1.041389,135.0911492,0.1216756,0.7720808,0.6586787,77.16,-0.148041,10401.7940137994,69.36819716,98.51163598,84.18714501
"124","NAM",2020,"Namibia ","Africa",104,0.5747,0.5,0.5235,0.6558,-0.1502869,"Namibia",NA,0.3200082,NA,0.0499711,102.1046438,0.6464528,-0.1089674,0.2980359,52.033,0.5633129,4211.05092913395,59.57290808,3.08629523,40.5
"125","NER",2020,"Niger ","Africa",188,0.1661,0.2976,0.2941,0.1304,-0.4010737,"Niger",NA,-0.6588671,NA,-0.617085,NA,-1.742846,-0.7429972,-0.547357,16.626,-0.516928,565.06133311838,47.73194913,19.10999921,NA
"126","NGA",2020,"Nigeria ","Africa",141,0.4406,0.4881,0.5176,0.4507,-0.548868013419351,"Nigeria",NA,-1.09688,NA,-1.029475,99.07300145,-1.859349,-0.9626663,-0.8124883,51.958,-0.5851821,2097.09247289022,53.77432522,226.335504,33.6
"127","NIC",2020,"Nicaragua ","Americas",123,0.5139,0.5238,0.5471,0.6133,0.04543889,"Nicaragua",NA,-1.249458,NA,-0.7140198,90.21707726,-0.6496124,-0.6596352,-1.217995,59.012,-1.097209,1905.25675597599,64.8218431,55.0486455,NA
"128","NLD",2020,"Netherlands ","Europe",10,0.9228,0.9643,0.9059,0.9349,0.9624811,"Netherlands",NA,2.033416,NA,1.853356,124.9790486,0.8503547,1.753378,1.759825,92.236,1.526045,52304.0573851896,64.26352061,518.0023463,93.2885906
"129","NOR",2020,"Norway ","Europe",13,0.9064,0.9048,0.8765,0.9392,0.894492764632179,"Norway",NA,2.099985,NA,1.936734,107.4584952,1.248287,1.698057,1.983865,82.974,1.725093,67294.4769786693,65.21632224,14.7339341,98.00000439
"130","NPL",2020,"Nepal ","Asia",132,0.4699,0.369,0.4,0.5405,0.5579689,"Nepal",NA,-0.5777507,NA,-0.9444261,NA,-0.1973841,-0.6962198,-0.4909703,20.576,-0.0885782,1155.14285440358,65.36213919,203.2564213,NA
"131","NRU",2020,"Nauru ","Oceania",154,0.415,0.2024,0.1706,0.6006,NA,"Nauru",NA,-0.4629044,NA,-0.0764715,NA,0.9350108,0.1107325,-0.7466934,100,0.4261846,NA,NA,541.7,NA
"132","NZL",2020,"New Zealand ","Oceania",8,0.9339,0.9881,0.9294,0.9516,0.7219455,"New Zealand",NA,2.150458,NA,1.589406,NA,1.486,1.877044,1.883367,86.699,1.596883,41791.79308952,64.20100397,19.30917929,NA
"133","OMN",2020,"Oman ","Asia",50,0.7749,0.8333,0.8529,0.7751,-2.220558,"Oman",NA,0.2311826,NA,0.1418495,133.8469596,0.3737737,0.4590778,0.6204309,86.276,-1.145927,NA,75.00210511,16.49958643,90.3
"134","PAK",2020,"Pakistan ","Asia",153,0.4183,0.5238,0.6294,0.3818,0.119581303835649,"Pakistan",NA,-0.8403147,NA,-0.5459959,79.50676968,-1.853356,-0.7166667,-0.6917597,37.165,-0.8801562,1193.73339713731,60.83178665,286.5456764,17.07090203
"135","PAN",2020,"Panama ","Americas",84,0.6715,0.5833,0.6235,0.7421,-0.259275589188945,"Panama",NA,-0.5141932,NA,0.0715803,132.2936557,0.2297324,0.3191189,-0.2077735,68.414,0.5704456,12269.0489963771,64.96642808,58.16854281,63.62841477
"136","PER",2020,"Peru ","Americas",71,0.7083,0.7619,0.7529,0.794,-0.569569,"Peru",NA,-0.4895027,NA,-0.2374633,NA,-0.2868988,0.5264729,-0.3429749,78.297,0.2190309,6126.87453978867,66.58259799,25.75925469,59.95050106
"137","PHL",2020,"Philippines ","Asia",77,0.6892,0.75,0.7294,0.7544,-0.839618,"Philippines",NA,-0.4816633,NA,0.0608745,NA,-0.7937949,0.0299304,-0.5518214,47.408,-0.1036209,3298.8298514292,64.44567282,367.5121072,46.88
"138","PLW",2020,"Palau ","Oceania",125,0.5109,0.3214,0.2765,0.8816,NA,"Palau",NA,-0.4629044,NA,-0.0465997,NA,0.8887936,0.0600498,-0.1902315,80.988,1.080369,NA,NA,39.33043478,NA
"139","PNG",2020,"Papua New Guinea ","Oceania",175,0.2827,0.2143,0.2235,0.5013,-1.45069054592331,"Papua New Guinea",NA,-0.5739502,NA,-0.8467313,NA,-0.7393168,-0.6815091,-0.7197714,13.345,0.0286327,2636.8002494333,61.28241078,19.75671731,NA
"140","POL",2020,"Poland ","Europe",24,0.8531,0.9643,0.8588,0.9001,0.6667144,"Poland",NA,0.6507944,NA,0.3764992,130.3966794,0.5743839,0.8859966,0.5398862,60.043,0.6171156,15656.1827308666,66.04284331,123.9533658,80.43590724
"141","PRK",2020,"Democratic People's Republic of Korea ","Asia",187,0.2235,0.0357,0.0176,0.6402,0.8525223,"Korea, Dem. People’s Rep.",NA,-1.680005,NA,-1.463741,NA,-0.3980415,-2.339893,-1.603,62.381,-2.158605,NA,70.80801539,214.0919774,NA
"142","PRT",2020,"Portugal ","Europe",35,0.8255,0.8214,0.8353,0.8463,0.808138218997046,"Portugal",NA,0.7510967,NA,1.023436,116.2629923,1.026339,0.8331245,1.183432,66.31,1.260278,22439.8768739626,64.17377411,112.4992795,75.34637155
"143","PRY",2020,"Paraguay ","Americas",93,0.6487,0.75,0.7059,0.6968,-0.4271845,"Paraguay",NA,-0.8706585,NA,-0.4658506,NA,0.0151681,-0.2023511,-0.4150999,62.183,0.0662908,4949.74970033259,64.29551444,17.9525044,68.51762842
"144","QAT",2020,"Qatar ","Asia",66,0.7173,0.6548,0.6588,0.6698,-1.94639530453858,"Qatar",NA,0.7839146,NA,0.9082767,131.8446415,0.6707044,0.8512264,1.000929,99.235,-1.287635,50805.4635677532,84.6716461,250.7449956,99.65280421
"145","ROU",2020,"Romania ","Europe",55,0.7605,0.8095,0.7235,0.7995,0.351620939380589,"Romania",NA,-0.0285288,NA,-0.2205489,117.436131,0.5892175,0.3826097,0.3688681,54.194,0.5843964,12896.0886211622,65.24849058,83.82355268,73.65747575
"146","RUS",2020,"Russian Federation ","Europe",36,0.8244,0.869,0.8176,0.8833,0.244590578107374,"Russian Federation",NA,-0.9105806,NA,0.0334169,163.5893357,-0.7314647,-0.4377571,-0.7602831,74.754,-1.076748,10126.7217935297,66.12880993,8.7992443,82.64216156
"147","RWA",2020,"Rwanda ","Africa",130,0.4789,0.631,0.6176,0.5261,-0.06129439,"Rwanda",NA,0.5545963,NA,0.3421282,81.95050454,0.0325207,0.1564013,0.1073663,17.432,-1.104483,797.855554346228,57.40646119,525.0186056,26
"148","SAU",2020,"Saudi Arabia ","Asia",43,0.7991,0.7143,0.6882,0.8648,-1.38997291175222,"Saudi Arabia",NA,0.2689767,NA,0.1460869,124.1328176,-0.6610959,0.2643954,0.2406326,84.287,-1.610713,20110.3161923744,71.80531002,16.19483135,95.7247356
"149","SDN",2020,"Sudan ","Africa",170,0.3154,0.2143,0.3059,0.3559,0.2522916,"Sudan",NA,-1.386456,NA,-1.48648,80.26408427,-1.763156,-1.606018,-1.067483,35.253,-1.432993,595.467833007679,56.52651151,23.71212932,25.4
"150","SEN",2020,"Senegal ","Africa",150,0.421,0.4405,0.4941,0.3332,0.015683348119941,"Senegal",NA,0.0303711,NA,0.0108911,113.9454801,-0.0207329,-0.2078334,-0.2755702,48.122,0.2446147,1487.7573088192,54.30029049,86.96790111,39.5
"151","SGP",2020,"Singapore ","Asia",11,0.915,0.9762,0.9647,0.8904,0.511208420909646,"Singapore",NA,2.151986,NA,2.3353,144.0514076,1.465074,2.205607,1.880382,100,-0.2021155,59797.7521801188,74.34727748,8019.473907,88.94925269
"152","SLB",2020,"Solomon Islands ","Oceania",166,0.3442,0.3214,0.3235,0.4985,-0.831392,"Solomon Islands",NA,0.0968989,NA,-0.9127187,NA,0.6357331,-0.8383006,-0.0995416,24.67,0.5541903,2258.40036455455,56.29902575,24.54012147,NA
