"","ID","year","Country.Name","region","E.Government.Rank","E.Government.Index","E.Participation.Index","Online.Service.Index","Human.Capital.Index","ps_2020","Country Name","electicity","FDI","mobile","urban","GDP_per","corruption","rule_of_law","pol_stab","accountability","effectiveness","reg_qual","young_population","pop_dens","internet_users"
"176","TUV",2020,"Tuvalu ","Oceania",151,0.4209,0.3571,0.3,0.6821,NA,"Tuvalu",NA,0.4863857,NA,-0.6513966,NA,1.182583,-0.49174,0.5269589,64.014,1.175454,4143.10975263011,NA,393.0666667,NA
"177","TZA",2020,"United Republic of Tanzania ","Africa",152,0.4206,0.5595,0.5529,0.4659,-0.236525405066878,"Tanzania",NA,-0.3900995,NA,-0.7727987,85.74688799,-0.4095079,-0.657513,-0.6031871,35.227,-0.7138085,1076.47038455352,53.80198331,67.43532739,20
"178","UGA",2020,"Uganda ","Africa",137,0.4499,0.5714,0.5824,0.5395,-0.559345228714126,"Uganda",NA,-1.053661,NA,-0.576944,60.53427508,-0.7804492,-0.4310607,-0.3288864,24.954,-0.7161818,817.035756926923,51.99841796,228.111909,NA
"179","UKR",2020,"Ukraine","Europe",69,0.7119,0.8095,0.6824,0.8591,-0.346838390955935,"Ukraine",NA,-0.7841346,NA,-0.3556524,129.3411657,-1.164059,-0.2958482,-0.6700379,69.608,0.0883247,3726.92714937055,67.06033888,76.17309803,70.1248443
"180","URY",2020,"Uruguay ","Americas",26,0.85,0.8571,0.8412,0.8514,0.711855591665813,"Uruguay",NA,1.422945,NA,0.7818888,NA,1.050673,0.582089,0.6786591,95.515,1.314993,15438.4116657291,64.57729875,19.84760027,83.35153377
"181","USA",2020,"United States of America ","Americas",9,0.9297,1,0.9471,0.9239,-0.00305274587366471,"United States",NA,1.068838,NA,1.318942,NA,-0.0220327,1.244659,1.368086,82.664,0.8689369,63543.577788724,64.99732686,36.01935005,89.43028486
"182","UZB",2020,"Uzbekistan ","Asia",87,0.6665,0.8095,0.7824,0.7434,0.4976068,"Uzbekistan",NA,-1.050585,NA,-0.507029,99.75439212,-0.4365745,-0.9449065,-1.062817,50.416,-1.537607,1685.76494675082,66.41109739,77.70210303,70.4000024
"183","VCT",2020,"Saint Vincent and the Grenadines ","Americas",109,0.5605,0.4643,0.4706,0.7214,NA,"St. Vincent and the Grenadines",NA,0.8065515,NA,0.1528237,87.48783126,1.034534,0.2644302,0.5650526,53.032,0.9112332,7297.9123498741,68.18820984,284.4794872,NA
"184","VEN",2020,"Venezuela ","Americas",118,0.5268,0.2381,0.3176,0.7807,-0.162590821045714,"Venezuela, RB",NA,-1.560315,NA,-1.780275,63.40000717,-1.517866,-2.234419,-2.346105,88.279,-1.506591,NA,64.76462533,32.23847061,NA
"185","VNM",2020,"Viet Nam ","Asia",86,0.6667,0.7024,0.6529,0.6779,0.264898393376674,"Vietnam",NA,-0.3527095,NA,0.2003077,142.7333617,-0.0734304,-0.1479097,-0.133932,37.34,-1.38047,2785.724156875,68.93995134,313.9245428,68.66158021
"186","VUT",2020,"Vanuatu ","Oceania",142,0.4403,0.3929,0.3353,0.6012,-0.678300246305828,"Vanuatu",NA,-0.148917,NA,-0.4613378,80.16799883,0.8966386,-0.4296038,0.2397133,25.525,0.6093988,2782.98434037313,57.98108385,25.19688269,NA
"187","WSM",2020,"Samoa ","Oceania",149,0.4219,0.25,0.2647,0.7414,NA,"Samoa",NA,0.6941885,NA,0.5234683,NA,1.155737,-0.2006688,0.8797514,17.889,0.8120753,4067.47262951152,57.71770137,70.10954064,NA
"188","YEM",2020,"Yemen ","Asia",173,0.3045,0.3095,0.3235,0.4142,-0.277544520413927,"Yemen, Rep.",NA,-1.679567,NA,-2.307661,NA,-2.671682,-1.799907,-1.776561,37.908,-1.767067,NA,58.23678658,56.49178552,NA
"189","ZAF",2020,"South Africa ","Africa",78,0.6891,0.75,0.7471,0.7371,0.2320376,"South Africa",NA,0.0640369,NA,0.2993964,161.7965917,-0.2368584,0.2039087,-0.1154166,67.354,0.6972312,5090.71502455292,65.68943607,48.89059344,68.2
"190","ZMB",2020,"Zambia ","Africa",148,0.4242,0.3095,0.2588,0.6745,-0.479748340223488,"Zambia",NA,-0.704854,NA,-0.7679108,103.9178349,-0.1281891,-0.6198913,-0.6225151,44.629,-0.4306399,1050.91928305741,53.85058873,24.72989413,19
"191","ZWE",2020,"Zimbabwe ","Africa",126,0.5019,0.4524,0.5235,0.6135,-0.574853746847907,"Zimbabwe",NA,-1.25314,NA,-1.250607,88.75580606,-1.080208,-1.422032,-1.274851,32.242,-1.121479,1128.21071129808,55.0747215,38.42038775,25.1
